,assetTurnoverTTM,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShareTTM,grossMargin,inventoryTurnoverTTM,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatioTTM,pb,peTTM,pfcfTTM,pretaxMargin,psTTM,ptbv,quickRatio,receivablesTurnoverTTM,roaTTM,roeTTM,roicTTM,rotcTTM,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio
2002-03-31,,,,,0.0017,0.0009,,,,0.8571,,,,,,,0.1905,0.3571,,,,,0.3571,,,,,,,,,0.0048,0.1429,,,,,
2002-06-30,,,,,0.0035,0.0019,,,,0.7342,,,,,,,0.2152,0.3924,,,,,0.3924,,,,,,,,,0.009,0.2658,,,,,
2002-09-30,,,,,0.0061,0.0032,,,,0.6947,,,,,,,0.229,0.4351,,,,,0.4275,,,,,,,,,0.014,0.3053,,,,,
2002-12-31,,,,,0.0088,0.0048,,,,0.6489,,,,,,,0.2394,0.4415,,,,,0.4415,,,,,,,,,0.0199,0.3511,,,,,
2003-03-31,,,,,0.0085,0.0026,,0.3333,,0.6426,,,,,,,0.1044,0.3414,,,,,0.3414,,,,,,,,,0.025,0.3574,,,,,
2003-06-30,,,,,0.0102,0.0031,,0.1061,,0.6174,,,,,,,0.1029,0.3376,,,,,0.3408,,,,,,,,,0.0302,0.3826,,,,,
2003-09-30,,,,,0.0065,0.0019,,0.1853,,0.5609,,,,,,,0.0508,0.1701,,,,,0.1701,,,,,,,,,0.0382,0.4391,,,,,
2003-12-31,,,0.6340425531914894,2.383,0.0082,0.0026,,0.0566,,0.5059,,,,,-0.2328,-0.2355,0.0527,0.168,,,,,0.1738,,,2.1745,,,,,,0.0488,0.4961,,0.0116,0.008,0.0115,3.2379
2004-03-31,,,0.8366666666666667,2.3433,0.0147,0.0061,,0.1825,,0.5077,,,,,-0.3293,-0.3315,0.0982,0.2377,,,,,0.2393,,,2.1667,,,,,,0.0617,0.4908,,0.0067,0.0046,0.0067,3.1923
2004-06-30,,,1.0119047619047619,3.5,0.0161,0.0074,,0.0957,,0.53,,,,,-0.2458,-0.2468,0.1129,0.2443,,,,,0.2414,,,3.2341,,,,,,0.0657,0.47,,0.0039,0.003,0.0039,4.2701
2004-09-30,1.7318,2590.0,1.2554744525547445,8.6131,0.001,0.0047,34809.1,0.2022,0.0346,0.5484,,,,,-0.1316,-0.1317,0.0645,0.0136,,13.5715,,,0.0186,,13.806,8.2299,,0.144,0.1794,0.1787,0.3404,0.0733,0.4516,2546.0,0.0012,0.001,0.0012,9.6622
2004-12-31,1.4822,2929.0,1.2558823529411764,7.9206,0.0265,0.0178,52286.9,0.2636,0.0582,0.5581,,,,,-0.145,-0.1451,0.1977,0.2936,,17.9966,,,0.3004,,18.4436,7.4529,13.6617,0.1854,0.2193,0.2189,0.3511,0.0902,0.4409,2858.0,0.0007,0.0006,0.0007,8.6276
2005-03-31,1.3322,3427.0,1.2290076335877862,8.0356,0.0386,0.0322,49582.3,0.3047,0.0818,0.5648,,,,,-0.1406,-0.1406,0.2936,0.3524,,14.6088,,,0.3628,,14.8779,7.5674,13.75,0.2471,0.2827,0.2824,0.3722,0.1096,0.4352,3365.0,0.0003,0.0003,0.0003,8.8242
2005-06-30,1.2301,3954.0,1.6808035714285714,8.1451,0.0414,0.0299,80955.1,0.3331,0.117,0.5679,,,,,-0.1904,-0.1904,0.2478,0.3439,,20.6647,,63.8844,0.3577,18.2425,20.9939,7.75,14.6852,0.2658,0.3002,0.3,0.3822,0.1205,0.4321,3892.0,0.0,0.0,0.0,8.2684
2005-09-30,0.9942,8793.0,9.855357142857143,14.9696,0.0457,0.0329,82850.6,0.225,0.1267,0.5849,,,,,-0.6277,-0.6277,0.2414,0.3352,,10.05,84.4092,60.0745,0.3485,16.8291,10.1156,14.6268,13.551,0.2456,0.2716,0.2715,0.3666,0.1362,0.4151,8736.0,0.0,0.0,0.0,14.3632
